Date,alabama,alaska,arizona,arkansas,california,colorado,connecticut,delaware,district-of-columbia,florida,georgia,guam,nebraska,nevada,new-hampshire,new-jersey,new-mexico,new-york,north-carolina,north-dakota,ohio,oklahoma,oregon,washington
2020-10-04,-0.5536135795287237,-0.09461241693008245,-1.036002630313066,-0.09946981229433606,-0.8103559336045533,-0.7793240778961676,-0.9265338943257576,-0.7261332520657305,-0.8645094958443077,-1.2819914938459975,-0.5968940356099111,0.15200685712789883,-0.3760829814522902,-0.9065006271550201,-0.8238768355920898,-0.9930908530065885,-0.790492871439093,-0.8508541341311204,-0.5059969974781879,-0.03381763434857363,-0.7800595374503096,-0.2331535769912541,-0.615240665043441,-0.9051143581787012
2020-10-05,-0.5069435591058147,-0.23830502514264504,-1.0197552530511003,-0.053441400509899914,-0.8073218277154435,-0.7308650634491793,-0.891357675828328,-0.7338531180028238,-0.8645094958443077,-1.2453819729497713,-0.5536226964316634,0.3075007024821811,-0.3760829814522902,-0.9084475080779943,-0.8350479318214747,-0.9786686719442718,-0.7683235317505115,-0.8469435331527214,-0.4398633805407902,0.07344394471466678,-0.80476575590457,-0.2331535769912541,-0.615240665043441,-0.9164678962762705
2020-10-06,-0.5440050459122424,-0.23830502514264504,-0.9473805725205259,-0.03448852506924974,-0.8021460000222561,-0.6912167789016435,-0.891357675828328,-0.6875339223802641,-0.7658776682304079,-1.2298933294936756,-0.5857031720293298,0.6573618545293162,-0.29008286393257426,-0.8227847474671246,-0.8573901242802447,-0.9540975486529174,-0.7202899624252516,-0.8319528960688587,-0.39646319442562294,0.10919780440241358,-0.7246374798366984,-0.15416635639365667,-0.5606006762997972,-0.9921581502600652
2020-10-07,-0.5261606263387771,-0.21435625710721792,-0.9355642981481872,-0.04531873960676412,-0.7969701723290687,-0.6339470345552027,-0.874695256540072,-0.6720941905060777,-0.7856040337531879,-1.2439739144537625,-0.5924176901776785,0.7739822385450279,-0.3252647301906399,-0.8033159382373815,-0.8797323167390148,-0.9284581156532434,-0.7239848523733484,-0.8226109048426834,-0.38096312795592036,0.10919780440241358,-0.699931261382438,-0.08415495631851345,-0.6015806678575301,-0.9618820486665473
2020-10-08,-0.5577315225072157,-0.21435625710721792,-0.9008539921794424,0.02778520852145799,-0.800182755035185,-0.6625819067284231,-0.8932090557492454,-0.5794557992609584,-0.8151935820373578,-1.2345868578137045,-0.6133073021947636,0.9683495452378806,-0.22362822766733922,-0.7974752954684585,-0.9244167016565548,-0.9012162180910896,-0.6870359528923793,-0.8213073711832171,-0.35719635936904304,0.9851673667522103,-0.6672122153213903,-0.15775668460263836,-0.471810694591376,-0.8559156930892345
2020-10-09,-0.4726273676183815,-0.09461241693008245,-0.9171013694414081,0.02778520852145799,-0.800182755035185,-0.6097175273317086,-0.8821007762237413,-0.5562962014496785,-0.8250567647987478,-1.2336481521496987,-0.6319587414957324,1.1627168519307336,-0.20408274641285834,-0.7896877717765614,-0.9355877978859397,-0.8937380501328513,-0.6353074936190225,-0.8158759809354408,-0.34272963066398726,0.8779057876889699,-0.6765605141959754,-0.0644081511691141,-0.471810694591376,-0.9543130232681678
2020-10-10,-0.5055709114463173,0.264619103601324,-0.9326102295551025,0.04944563759648676,-0.818387390369844,-0.6427577644546552,-0.8821007762237413,-0.5640160673867718,-0.8250567647987478,-1.2646254390618903,-0.6849288291104838,1.4348310813007275,-0.18062816890748126,-0.756590796085998,-0.8462190280508598,-0.9070919214868484,-0.6463921634633132,-0.8056649672696212,-0.3747631013680393,1.0298596913618938,-0.6678799509552893,-0.04825167422869643,-0.3693607156970438,-0.9278214343738397
2020-10-11,-0.47811795825637077,0.049080191282480146,-0.9732286727100168,0.08193628120902992,-0.8149963308467213,-0.6031094799071193,-0.8821007762237413,-0.5254167377013054,-0.9532781406968174,-1.2430352087897567,-0.7050723835555301,1.3570841586235862,-0.1571735914021042,-0.756590796085998,-0.8350479318214747,-0.9188433282783656,-0.6833410629442824,-0.8069685009290876,-0.3623630481922772,1.1371212704251341,-0.6511865601078161,-0.04825167422869643,-0.3693607156970438,-0.893760820081132
2020-10-12,-0.4177214612384884,-0.07066364889465535,-0.9459035382239835,0.195653533852931,-0.8208860658079344,-0.6317443520803396,-0.843221797884477,-0.5485763355125852,-0.9434149579354274,-1.204078923733516,-0.6700076776697087,1.551451465316439,-0.16108268765300038,-0.7760596053157411,-0.8909034129683998,-0.8958746695494909,-0.657476833307604,-0.7943676755542464,-0.2972627690195263,1.1549982002690078,-0.6097869508060824,-0.04825167422869643,-0.3693607156970438,-0.9732355867641165
2020-10-13,-0.4630188340019002,0.09697772735333435,-0.9171013694414081,0.1767006584122808,-0.8226708339779991,-0.5987041149573931,-0.8117483392288822,-0.4945372739529323,-0.9335517751740374,-1.2411577974617451,-0.6051006689023373,1.4348310813007275,-0.18062816890748126,-0.7838471290076384,-0.8909034129683998,-0.9028186826535693,-0.6648666132037978,-0.784591173108249,-0.30346279560740735,0.9136596473767167,-0.565048663334854,-0.04466134601971473,-0.3147207269534,-0.8824072819835628
2020-10-14,-0.4479197097474296,0.025131423247053048,-0.9134087837000522,0.12525713935908747,-0.8108913640555727,-0.554650465460131,-0.7821262604942046,-0.46365781020455915,-0.9532781406968174,-1.228015918165664,-0.6409114323601974,1.4348310813007275,-0.11808262889314242,-0.756590796085998,-0.8685612205096298,-0.8761109399455754,-0.5909688142418594,-0.7813323389595831,-0.2528292451397122,0.9136596473767167,-0.5476875368534818,-0.0644081511691141,-0.38302071288295475,-0.9164678962762705
2020-10-15,-0.43419323315245634,0.12092649538876143,-0.9023310264759847,0.13879490753098045,-0.8194582512718828,-0.5216102283371844,-0.7765721207314527,-0.5022571398900255,-0.9335517751740374,-1.2449126201177685,-0.6580707565170887,1.8235656946864331,-0.13371901389672713,-0.8208378665441504,-0.8797323167390148,-0.8579496749041396,-0.5724943645013749,-0.7902398189659363,-0.26522929831547426,0.9225981122986534,-0.5483552724873807,-0.006962899825406851,-0.4376607016265986,-0.893760820081132
2020-10-16,-0.41360351825999647,0.09697772735333435,-0.8868221663622902,0.12796469299346608,-0.8271327544031606,-0.49077267368910094,-0.7895317801778741,-0.5562962014496785,-0.9532781406968174,-1.2618093220698727,-0.6685155625256313,1.6291983879935803,-0.08680985888597299,-0.8539348422347136,-0.9020745091977848,-0.8606204491749391,-0.5059863454356304,-0.7856774511578042,-0.25696259619829953,1.0119827615180204,-0.5196426402297267,0.014579069428483363,-0.458150697405465,-0.8824072819835628
2020-10-17,-0.4630188340019002,0.31251663967217824,-0.8794369948795785,0.1008891566496801,-0.8342718270834191,-0.5039887685382796,-0.7895317801778741,-0.5794557992609584,-0.9730045062195973,-1.2862156693340236,-0.7028342108394139,1.6291983879935803,-0.09071895513686916,-0.787740890853587,-0.8797323167390148,-0.8440616486959829,-0.4875118956951458,-0.7832876394487827,-0.26522929831547426,1.0119827615180204,-0.5229813183992214,0.012783905323992512,-0.5196206847420644,-0.806717027999768
